Sample,X(ms) [24.09.2026 09:48:38 648 UTC],"matematicko_upravljanje[%MD18]","izlazna_vrednost_objekta[%MD14]","referentna_vrednost[%MD10]"
1830,1790243335552.422619,100,79.9964141845703,100
1831,1790243335592.766919,100,79.9964599609375,100
1832,1790243335632.435319,100,79.9964981079102,100
1833,1790243335672.417519,100,79.9965362548828,100
1834,1790243335712.426219,100,79.9965667724609,100
1835,1790243335752.406719,100,79.9965972900391,100
1836,1790243335792.498219,100,79.9966201782227,100
1837,1790243335832.492919,100,79.9966430664063,100
1838,1790243335872.371519,100,79.9966583251953,100
1839,1790243335912.383219,100,79.9966735839844,100
1840,1790243335952.470219,100,79.9966888427734,100
1841,1790243335992.381219,100,79.9967041015625,100
1842,1790243336032.423919,100,79.996711730957,100
1843,1790243336072.398119,100,79.9967193603516,100
1844,1790243336112.366919,100,79.9967269897461,100
1845,1790243336152.365019,100,79.9967346191406,100
1846,1790243336192.478719,100,79.9967422485352,100
1847,1790243336232.382919,100,79.9967498779297,100
1848,1790243336272.367319,100,79.9967575073242,100
1849,1790243336312.504819,100,79.9967651367188,100
1850,1790243336352.387719,100,79.9967651367188,100
1851,1790243336392.378919,100,79.9967651367188,100
1852,1790243336432.360219,100,79.9967651367188,100
1853,1790243336472.418019,100,79.9967651367188,100
1854,1790243336512.377319,100,79.9967651367188,100
1855,1790243336552.344419,100,79.9967651367188,100
1856,1790243336592.363819,100,79.9967651367188,100
1857,1790243336632.358219,100,79.9967651367188,100
1858,1790243336672.353819,100,79.9967651367188,100
1859,1790243336712.325119,100,79.9967651367188,100
1860,1790243336752.339619,100,79.9967651367188,100
1861,1790243336792.419919,100,79.9967651367188,100
1862,1790243336832.331619,100,79.9967651367188,100
1863,1790243336872.334119,100,79.9967651367188,100
1864,1790243336912.347419,100,79.9967651367188,100
1865,1790243336952.315419,100,79.9967651367188,100
1866,1790243336992.540719,100,79.9967651367188,100
1867,1790243337032.324019,100,79.9967651367188,100
1868,1790243337072.347719,100,79.9967651367188,100
1869,1790243337112.305219,100,79.9967651367188,100
1870,1790243337152.318419,100,79.9967651367188,100
1871,1790243337192.315419,100,79.9967651367188,100
1872,1790243337232.360819,100,79.9967651367188,100
1873,1790243337272.314719,100,79.9967651367188,100
1874,1790243337312.309519,100,79.9967651367188,100
1875,1790243337352.308819,100,79.9967651367188,100
1876,1790243337392.355419,100,79.9967651367188,100
1877,1790243337432.322119,100,79.9967651367188,100
1878,1790243337472.314519,100,79.9967651367188,100
1879,1790243337512.293219,100,79.9967651367188,100
1880,1790243337552.274119,100,79.9967651367188,100
1881,1790243337592.303819,100,79.9967651367188,100
1882,1790243337632.296619,100,79.9967651367188,100
1883,1790243337672.345219,100,79.9967651367188,100
1884,1790243337712.284219,100,79.9967651367188,100
1885,1790243337752.278819,100,79.9967651367188,100
1886,1790243337792.292319,100,79.9967651367188,100
1887,1790243337832.250119,100,79.9967651367188,100
1888,1790243337872.248519,100,79.9967651367188,100
1889,1790243337912.263819,100,79.9967651367188,100
1890,1790243337952.381619,100,79.9967651367188,100
1891,1790243337992.278119,100,79.9967651367188,100
1892,1790243338032.252719,100,79.9967651367188,100
1893,1790243338072.271419,100,79.9967651367188,100
1894,1790243338112.282219,100,79.9967651367188,100
1895,1790243338152.246019,100,79.9967651367188,100
1896,1790243338192.240719,100,79.9967651367188,100
1897,1790243338232.279919,100,79.9967651367188,100
1898,1790243338272.250419,100,79.9967651367188,100
1899,1790243338312.226519,100,79.9967651367188,100
1900,1790243338352.221019,100,79.9967651367188,100
1901,1790243338392.296919,100,79.9967651367188,100
1902,1790243338432.246819,100,79.9967651367188,100
1903,1790243338472.295119,100,79.9967651367188,100
1904,1790243338512.232719,100,79.9967651367188,100
1905,1790243338552.287919,100,79.9967651367188,100
1906,1790243338592.220119,100,79.9967651367188,100
1907,1790243338632.195519,100,79.9967651367188,100
1908,1790243338672.212919,100,79.9967651367188,100
1909,1790243338712.224419,100,79.9967651367188,100
1910,1790243338752.320119,100,79.9967651367188,100
1911,1790243338792.211719,100,79.9967651367188,100
1912,1790243338832.208919,100,79.9967651367188,100
1913,1790243338872.240419,100,79.9967651367188,100
1914,1790243338912.222219,100,79.9967651367188,100
1915,1790243338952.237619,100,79.9967651367188,100
