Sample,X(ms) [22.09.2026 22:44:17 863 UTC],"matematicko_upravljanje[%MD18]","izlazna_vrednost_objekta[%MD14]","vrednost_upravljanja[%MD10]"
580,1790117070742.390389,100.004005432129,79.9993743896484,100
581,1790117070782.367089,100.003128051758,79.9994506835938,100
582,1790117070822.386689,100.002746582031,79.9994277954102,100
583,1790117070862.364889,100.002861022949,79.9993743896484,100
584,1790117070902.366889,100.003128051758,79.9993362426758,100
585,1790117070942.362489,100.003318786621,79.9993286132813,100
586,1790117070982.366789,100.003356933594,79.9993362426758,100
587,1790117071022.366989,100.003318786621,79.9993515014648,100
588,1790117071062.360889,100.003242492676,79.9993591308594,100
589,1790117071102.351289,100.003204345703,79.9993591308594,100
590,1790117071142.357389,100.003204345703,79.9993591308594,100
591,1790117071182.331389,100.003204345703,79.9993591308594,100
592,1790117071222.340589,100.003204345703,79.9993591308594,100
593,1790117071262.342589,100.003204345703,79.9993591308594,100
594,1790117071302.343589,100.003204345703,79.9993591308594,100
595,1790117071342.336389,100.003204345703,79.9993591308594,100
596,1790117071382.324089,100.003204345703,79.9993591308594,100
597,1790117071422.312789,100.003204345703,79.9993591308594,100
598,1790117071462.326289,100.003204345703,79.9993591308594,100
599,1790117071502.324489,100.003204345703,79.9993591308594,100
600,1790117071542.318589,100.003204345703,79.9993591308594,100
601,1790117071582.321289,100.003204345703,79.9993591308594,100
602,1790117071622.310589,100.003204345703,79.9993591308594,100
603,1790117071662.302189,100.003204345703,79.9993591308594,100
604,1790117071702.307589,100.003204345703,79.9993591308594,100
605,1790117071742.295589,100.003204345703,79.9993591308594,100
606,1790117071782.300889,100.003204345703,79.9993591308594,100
607,1790117071822.288789,100.003204345703,79.9993591308594,100
608,1790117071862.292389,100.003204345703,79.9993591308594,100
609,1790117071902.291189,100.003204345703,79.9993591308594,100
610,1790117071942.264089,100.003204345703,79.9993591308594,100
611,1790117071982.266389,100.003204345703,79.9993591308594,100
612,1790117072022.279789,100.003204345703,79.9993591308594,100
613,1790117072062.277189,100.003204345703,79.9993591308594,100
614,1790117072102.272689,100.003204345703,79.9993591308594,100
615,1790117072142.268889,100.003204345703,79.9993591308594,100
616,1790117072182.269989,100.003204345703,79.9993591308594,100
617,1790117072222.261889,100.003204345703,79.9993591308594,100
618,1790117072262.254689,100.003204345703,79.9993591308594,100
619,1790117072302.240089,100.003204345703,79.9993591308594,100
620,1790117072342.247589,100.003204345703,79.9993591308594,100
621,1790117072382.256789,100.003204345703,79.9993591308594,100
622,1790117072422.241189,100.003204345703,79.9993591308594,100
623,1790117072462.233289,100.003204345703,79.9993591308594,100
624,1790117072502.230989,100.003204345703,79.9993591308594,100
625,1790117072542.231089,100.003204345703,79.9993591308594,100
626,1790117072582.231689,100.003204345703,79.9993591308594,100
627,1790117072622.223989,100.003204345703,79.9993591308594,100
628,1790117072662.230789,100.003204345703,79.9993591308594,100
629,1790117072702.228489,100.003204345703,79.9993591308594,100
630,1790117072742.217489,100.003204345703,79.9993591308594,100
631,1790117072782.218089,100.003204345703,79.9993591308594,100
632,1790117072822.232089,100.003204345703,79.9993591308594,100
633,1790117072862.199989,100.003204345703,79.9993591308594,100
634,1790117072902.237989,100.003204345703,79.9993591308594,100
635,1790117072942.190589,100.003204345703,79.9993591308594,100
636,1790117072982.188889,100.003204345703,79.9993591308594,100
637,1790117073022.186189,100.003204345703,79.9993591308594,100
