Sample,X(ms) [22.09.2026 22:13:58 598 UTC],"matematicko_upravljanje[%MD18]","izlazna_vrednost_objekta[%MD14]","vrednost_upravljanja[%MD10]"
197,1790115239398.435871,0,0,0
198,1790115239438.435871,0,0,0
199,1790115239478.438571,0,0,0
200,1790115239518.436171,0,0,0
201,1790115239558.414271,0,0,0
202,1790115239598.416671,0,0,0
203,1790115239638.424371,0,0,0
204,1790115239678.430971,0,0,0
205,1790115239718.422571,0,0,0
206,1790115239758.398171,0,0,0
207,1790115239798.399771,0,0,0
208,1790115239838.404471,0,0,0
209,1790115239878.393571,0,0,0
210,1790115239918.404371,0,0,0
211,1790115239958.389471,0,0,0
212,1790115239998.397771,0,0,0
213,1790115240038.388971,0,0,0
214,1790115240078.382771,0,0,0
215,1790115240118.383471,0,0,0
216,1790115240158.361571,0,0,0
217,1790115240198.367871,0,0,0
218,1790115240238.364471,0,0,0
219,1790115240278.373271,0,0,0
220,1790115240318.370071,0,0,0
221,1790115240358.379171,0,0,0
222,1790115240398.340371,0,0,0
223,1790115240438.351371,0,0,0
224,1790115240478.339771,0,0,0
225,1790115240518.357071,0,0,0
226,1790115240558.354471,0,0,0
227,1790115240598.330471,0,0,0
228,1790115240638.335071,0,0,0
229,1790115240678.337971,0,0,0
230,1790115240718.330071,0,0,0
231,1790115240758.334471,0,0,0
232,1790115240798.318771,0,0,0
233,1790115240838.311571,0,0,0
234,1790115240878.318571,0,0,0
235,1790115240918.321371,0,0,0
236,1790115240958.309471,0,0,0
237,1790115240998.311271,0,0,0
238,1790115241038.291571,0,0,0
239,1790115241078.290471,0,0,0
240,1790115241118.291171,0,0,0
241,1790115241158.290471,0,0,0
242,1790115241198.300071,0,0,0
243,1790115241238.279171,0,0,0
244,1790115241278.286671,0,0,0
245,1790115241318.281971,0,0,0
246,1790115241358.275471,0,0,0
247,1790115241398.264871,0,0,0
248,1790115241438.261471,0,0,0
249,1790115241478.266471,0,0,0
250,1790115241518.263271,0,0,0
251,1790115241558.261171,0,0,0
252,1790115241598.262171,0,0,0
253,1790115241638.255471,0,0,0
254,1790115241678.245671,0,0,0
255,1790115241718.246771,125,0,100
256,1790115241758.239271,125,12.4825000762939,100
257,1790115241798.228071,125,23.406810760498,100
258,1790115241838.231071,125,32.9674377441406,100
259,1790115241878.245571,125,41.3346099853516,100
260,1790115241918.235071,125,48.6573104858398,100
261,1790115241958.212371,125,55.06591796875,100
262,1790115241998.219671,125,60.6745376586914,100
263,1790115242038.213471,125,65.5830383300781,100
264,1790115242078.221271,125,69.8788070678711,100
265,1790115242118.215771,125,73.6383361816406,100
266,1790115242158.198871,125,76.9285583496094,100
267,1790115242198.214871,125,79.8080673217773,100
268,1790115242238.222571,125,82.328125,100
269,1790115242278.201171,125,84.5335998535156,100
270,1790115242318.201871,125,86.4637680053711,100
271,1790115242358.202371,125,88.1529922485352,100
272,1790115242398.185371,125,89.6313552856445,100
273,1790115242438.196671,125,90.9251708984375,100
274,1790115242478.200671,125,92.0574798583984,100
275,1790115242518.184271,125,93.0484390258789,100
276,1790115242558.181871,125,93.9157028198242,100
277,1790115242598.181971,125,94.6747055053711,100
278,1790115242638.152571,125,95.3389587402344,100
279,1790115242678.161771,125,95.920295715332,100
280,1790115242718.150871,125,96.4290618896484,100
281,1790115242758.161371,125,96.8743209838867,100
282,1790115242798.155271,125,97.2639999389648,100
283,1790115242838.137971,125,97.6050338745117,100
284,1790115242878.129671,125,97.9034957885742,100
285,1790115242918.145771,125,98.1647033691406,100
286,1790115242958.150171,125,98.3933029174805,100
287,1790115242998.139171,125,98.5933609008789,100
288,1790115243038.129471,125,98.7684478759766,100
289,1790115243078.170071,125,98.9216766357422,100
290,1790115243118.126171,125,99.055778503418,100
291,1790115243158.117671,125,99.1731414794922,100
292,1790115243198.107571,125,99.2758560180664,100
293,1790115243238.099871,125,99.3657455444336,100
294,1790115243278.098571,125,99.4444198608398,100
295,1790115243318.099071,125,99.5132675170898,100
296,1790115243358.090271,125,99.5735244750977,100
297,1790115243398.111171,125,99.6262588500977,100
298,1790115243438.102971,125,99.6724090576172,100
299,1790115243478.088271,125,99.7127990722656,100
300,1790115243518.093971,125,99.7481460571289,100
301,1790115243558.085371,125,99.7790832519531,100
302,1790115243598.083271,125,99.8061599731445,100
303,1790115243638.079971,125,99.8298568725586,100
304,1790115243678.209771,125,99.8505935668945,100
305,1790115243718.083971,125,99.8687438964844,100
306,1790115243758.099671,125,99.8846282958984,100
307,1790115243798.068371,125,99.8985290527344,100
308,1790115243838.074171,125,99.9106903076172,100
309,1790115243878.066671,125,99.9213333129883,100
310,1790115243918.059671,125,99.9306488037109,100
311,1790115243958.063271,125,99.9388046264648,100
312,1790115243998.055271,125,99.9459381103516,100
313,1790115244038.053771,125,99.9521865844727,100
314,1790115244078.050471,125,99.957649230957,100
315,1790115244118.033771,125,99.9624328613281,100
316,1790115244158.019371,125,99.9666213989258,100
317,1790115244198.043971,125,99.9702835083008,100
318,1790115244238.029571,125,99.9734878540039,100
319,1790115244278.025371,125,99.9762954711914,100
320,1790115244318.021071,125,99.9787521362305,100
321,1790115244358.016671,125,99.9809036254883,100
322,1790115244398.004971,125,99.9827880859375,100
323,1790115244438.027271,125,99.9844360351563,100
324,1790115244478.020471,125,99.9858779907227,100
325,1790115244518.010971,125,99.9871368408203,100
326,1790115244558.016371,125,99.9882431030273,100
327,1790115244598.014971,125,99.9892044067383,100
328,1790115244638.002671,125,99.9900512695313,100
329,1790115244678.015771,125,99.9907913208008,100
330,1790115244717.978271,125,99.9914398193359,100
331,1790115244757.982171,125,99.9920043945313,100
332,1790115244797.979871,125,99.9925003051758,100
333,1790115244837.981171,125,99.9929351806641,100
334,1790115244877.972271,125,99.9933166503906,100
335,1790115244917.970871,125,99.9936447143555,100
336,1790115244957.960171,125,99.9939346313477,100
337,1790115244997.974971,125,99.9941864013672,100
338,1790115245037.962571,125,99.9944076538086,100
339,1790115245077.953071,125,99.9946060180664,100
340,1790115245117.944071,125,99.9947738647461,100
