Sample,X(ms) [24.09.2026 09:59:16 693 UTC],"matematicko_upravljanje[%MD18]","izlazna_vrednost_objekta[%MD14]","referentna_vrednost[%MD10]"
212,1790243959972.906272,0,0,0
213,1790243960012.937572,0,0,0
214,1790243960052.911372,0,0,0
215,1790243960092.957872,0,0,0
216,1790243960132.878072,0,0,0
217,1790243960172.887572,0,0,0
218,1790243960212.893872,0,0,0
219,1790243960252.959372,0,0,0
220,1790243960292.961572,0,0,0
221,1790243960332.934472,0,0,0
222,1790243960372.889172,0,0,0
223,1790243960412.993172,0,0,0
224,1790243960452.902972,0,0,0
225,1790243960493.498272,0,0,0
226,1790243960532.897772,0,0,0
227,1790243960573.182572,0,0,0
228,1790243960612.921272,0,0,0
229,1790243960652.885272,0,0,0
230,1790243960693.159472,0,0,0
231,1790243960732.873072,0,0,0
232,1790243960772.877472,0,0,0
233,1790243960812.854072,0,0,0
234,1790243960852.854172,0,0,0
235,1790243960893.286172,0,0,0
236,1790243960932.857872,0,0,0
237,1790243960972.867472,0,0,0
238,1790243961012.855172,0,0,0
239,1790243961052.972472,0,0,0
240,1790243961093.158672,0,0,0
241,1790243961132.824972,0,0,0
242,1790243961172.843672,0,0,0
243,1790243961212.842072,0,0,0
244,1790243961252.821372,0,0,0
245,1790243961292.944972,0,0,0
246,1790243961332.837472,0,0,0
247,1790243961372.861272,0,0,0
248,1790243961412.842472,0,0,0
249,1790243961452.804372,0,0,0
250,1790243961492.891172,0,0,0
251,1790243961532.913872,0,0,0
252,1790243961572.813572,0,0,0
253,1790243961612.811072,0,0,0
254,1790243961652.795672,0,0,0
255,1790243961693.057972,0,0,0
256,1790243961732.914072,0,0,0
257,1790243961773.178072,0,0,0
258,1790243961812.799172,0,0,0
259,1790243961852.801772,0,0,0
260,1790243961892.790472,0,0,0
261,1790243961932.818172,0,0,0
262,1790243961972.791172,0,0,0
263,1790243962012.804972,0,0,0
264,1790243962052.783372,0,0,0
265,1790243962092.909472,0,0,0
266,1790243962132.784672,0,0,0
267,1790243962172.786772,0,0,0
268,1790243962213.880172,0,0,0
269,1790243962252.772772,0,0,0
270,1790243962292.942772,0,0,0
271,1790243962332.765672,0,0,0
272,1790243962372.779872,0,0,0
273,1790243962412.752372,0,0,0
274,1790243962452.811472,0,0,0
275,1790243962493.090172,0,0,0
276,1790243962532.782972,0,0,0
277,1790243962572.744972,0,0,0
278,1790243962612.769772,0,0,0
279,1790243962652.780472,0,0,0
280,1790243962693.004372,0,0,0
281,1790243962732.780272,0,0,0
282,1790243962772.869872,0,0,0
283,1790243962812.770172,0,0,0
284,1790243962852.791972,0,0,0
285,1790243962892.737472,0,0,0
286,1790243962932.998772,0,0,0
287,1790243962972.748972,0,0,0
288,1790243963013.155872,0,0,0
289,1790243963053.474872,0,0,0
290,1790243963092.855872,0,0,0
291,1790243963132.710972,0,0,0
292,1790243963172.796972,0,0,0
293,1790243963212.708672,0,0,0
294,1790243963252.710072,0,0,0
295,1790243963292.847972,0,0,0
296,1790243963332.744472,0,0,0
297,1790243963372.753372,0,0,0
298,1790243963412.753772,0,0,0
299,1790243963452.709972,0,0,0
300,1790243963493.189472,0,0,0
301,1790243963532.804072,0,0,0
302,1790243963572.683972,0,0,0
303,1790243963612.700672,0,0,0
304,1790243963652.967072,0,0,0
305,1790243963692.851372,0,0,0
306,1790243963733.488072,0,0,0
307,1790243963772.856272,0,0,0
308,1790243963812.687572,0,0,0
309,1790243963852.690172,0,0,0
