Sample,X(ms) [22.09.2026 22:05:40 989 UTC],"matematicko_upravljanje[%MD18]","izlazna_vrednost_objekta[%MD14]"
299,1790114744909.245843,100.115585327148,79.9994049072266
300,1790114744949.251243,100.002975463867,80.0106201171875
301,1790114744989.244943,99.9468994140625,80.0091934204102
302,1790114745029.237843,99.9540328979492,80.0023422241211
303,1790114745069.254843,99.9882888793945,79.9970550537109
304,1790114745109.224143,100.014724731445,79.9958572387695
305,1790114745149.247843,100.020713806152,79.997444152832
306,1790114745189.235943,100.01277923584,79.9994277954102
307,1790114745229.237643,100.002861022949,80.000373840332
308,1790114745269.220543,99.9981307983398,80.0002059936523
309,1790114745309.219843,99.9989700317383,79.9995880126953
310,1790114745349.210343,100.002059936523,79.9991302490234
311,1790114745389.220143,100.004348754883,79.9990463256836
312,1790114745429.211543,100.004768371582,79.9991989135742
313,1790114745469.220943,100.004005432129,79.9993743896484
314,1790114745509.203943,100.003128051758,79.9994506835938
315,1790114745549.208743,100.002746582031,79.9994277954102
316,1790114745589.199943,100.002861022949,79.9993743896484
317,1790114745629.198543,100.003128051758,79.9993362426758
318,1790114745669.210443,100.003318786621,79.9993286132813
319,1790114745709.182943,100.003356933594,79.9993362426758
320,1790114745749.189343,100.003318786621,79.9993515014648
321,1790114745789.189843,100.003242492676,79.9993591308594
322,1790114745829.167043,100.003204345703,79.9993591308594
323,1790114745869.183243,100.003204345703,79.9993591308594
324,1790114745909.185443,100.003204345703,79.9993591308594
325,1790114745949.172243,100.003204345703,79.9993591308594
326,1790114745989.163343,100.003204345703,79.9993591308594
327,1790114746029.148443,100.003204345703,79.9993591308594
328,1790114746069.166943,100.003204345703,79.9993591308594
329,1790114746109.157043,100.003204345703,79.9993591308594
330,1790114746149.159443,100.003204345703,79.9993591308594
331,1790114746189.135443,100.003204345703,79.9993591308594
332,1790114746229.153943,100.003204345703,79.9993591308594
333,1790114746269.149143,100.003204345703,79.9993591308594
334,1790114746309.138743,100.003204345703,79.9993591308594
335,1790114746349.120143,100.003204345703,79.9993591308594
336,1790114746389.127343,100.003204345703,79.9993591308594
337,1790114746429.119643,100.003204345703,79.9993591308594
338,1790114746469.142543,100.003204345703,79.9993591308594
339,1790114746509.131443,100.003204345703,79.9993591308594
340,1790114746549.114943,100.003204345703,79.9993591308594
341,1790114746589.102443,100.003204345703,79.9993591308594
342,1790114746629.110743,100.003204345703,79.9993591308594
343,1790114746669.115643,100.003204345703,79.9993591308594
344,1790114746709.106643,100.003204345703,79.9993591308594
345,1790114746749.108043,100.003204345703,79.9993591308594
346,1790114746789.082943,100.003204345703,79.9993591308594
347,1790114746829.109143,100.003204345703,79.9993591308594
348,1790114746869.112043,100.003204345703,79.9993591308594
349,1790114746909.095543,100.003204345703,79.9993591308594
