Sample,X(ms) [22.09.2026 22:43:05 543 UTC],"matematicko_upravljanje[%MD18]","izlazna_vrednost_objekta[%MD14]","vrednost_upravljanja[%MD10]"
457,1790116990182.916534,100,73.6459884643555,100
458,1790116990222.909434,100,74.4387588500977,100
459,1790116990262.902634,100,75.132568359375,100
460,1790116990302.894834,100,75.7397689819336,100
461,1790116990342.905034,100,76.2711715698242,100
462,1790116990382.883834,100,76.7362442016602,100
463,1790116990422.880634,100,77.1432571411133,100
464,1790116990462.879034,100,77.4994659423828,100
465,1790116990502.879234,100,77.8112106323242,100
466,1790116990542.872734,100,78.0840377807617,100
467,1790116990582.874634,100,78.3228073120117,100
468,1790116990622.860034,100,78.5317687988281,100
469,1790116990662.851834,100,78.7146453857422,100
470,1790116990702.869134,100,78.8746948242188,100
471,1790116990742.863034,100,79.014762878418,100
472,1790116990782.854034,100,79.1373519897461,100
473,1790116990822.857334,100,79.2446365356445,100
474,1790116990862.856034,100,79.3385314941406,100
475,1790116990902.839834,100,79.4207000732422,100
476,1790116990942.839634,100,79.4926147460938,100
477,1790116990982.841734,100,79.555549621582,100
478,1790116991022.839934,100,79.6106262207031,100
479,1790116991062.812034,100,79.6588287353516,100
480,1790116991102.823434,100,79.7010192871094,100
481,1790116991142.822034,100,79.7379379272461,100
482,1790116991182.828934,100,79.7702484130859,100
483,1790116991222.814834,100,79.7985305786133,100
484,1790116991262.813534,100,79.8232803344727,100
485,1790116991302.854934,100,79.8449401855469,100
486,1790116991342.814834,100,79.863899230957,100
487,1790116991382.802034,100,79.880485534668,100
488,1790116991422.825434,100,79.8950042724609,100
489,1790116991462.803434,100,79.9077072143555,100
490,1790116991502.812034,100,79.918830871582,100
491,1790116991542.811234,100,79.9285659790039,100
492,1790116991582.869234,100,79.9370803833008,100
493,1790116991622.813134,100,79.9445343017578,100
494,1790116991662.822234,100,79.951057434082,100
495,1790116991702.834234,100,79.9567642211914,100
496,1790116991742.867834,100,79.9617614746094,100
497,1790116991782.829934,100,79.9661331176758,100
498,1790116991822.838434,100,79.9699630737305,100
499,1790116991862.823034,100,79.9733123779297,100
500,1790116991902.829234,100,79.9762420654297,100
501,1790116991942.890734,100,79.9788055419922,100
502,1790116991982.829934,100,79.9810485839844,100
503,1790116992022.836134,100,79.9830169677734,100
504,1790116992062.835334,100,79.984733581543,100
505,1790116992102.829534,100,79.9862365722656,100
506,1790116992142.839034,100,79.9875564575195,100
507,1790116992182.837834,100,79.9887084960938,100
508,1790116992222.892634,100,79.9897155761719,100
509,1790116992262.850134,100,79.9906005859375,100
510,1790116992302.850434,100,79.9913711547852,100
511,1790116992342.944934,100,79.9920501708984,100
512,1790116992382.946734,100,79.9926452636719,100
513,1790116992422.854434,100,79.9931640625,100
514,1790116992462.856434,100,79.9936141967773,100
515,1790116992502.849334,100,79.994010925293,100
516,1790116992542.910134,100,79.9943542480469,100
517,1790116992582.862434,100,79.9946594238281,100
518,1790116992622.857934,100,79.9949264526367,100
519,1790116992662.851834,100,79.9951629638672,100
520,1790116992702.874434,100,79.9953689575195,100
521,1790116992742.866034,100,79.9955444335938,100
522,1790116992782.873634,100,79.9956970214844,100
523,1790116992822.860434,100,79.9958343505859,100
524,1790116992862.920534,100,79.9959564208984,100
525,1790116992902.860334,100,79.9960632324219,100
526,1790116992942.876834,100,79.9961547851563,100
527,1790116992982.916334,100,79.9962310791016,100
528,1790116993022.885434,100,79.9962997436523,100
529,1790116993062.874034,100,79.9963607788086,100
530,1790116993102.879634,100,79.9964141845703,100
531,1790116993142.935634,100,79.9964599609375,100
532,1790116993182.935534,100,79.9964981079102,100
533,1790116993222.882734,100,79.9965362548828,100
534,1790116993262.891734,100,79.9965667724609,100
535,1790116993302.881834,100,79.9965972900391,100
536,1790116993342.890334,100,79.9966201782227,100
537,1790116993382.890434,100,79.9966430664063,100
538,1790116993422.894834,100,79.9966583251953,100
539,1790116993462.944834,100,79.9966735839844,100
540,1790116993502.927634,100,79.9966888427734,100
541,1790116993542.902434,100,79.9967041015625,100
542,1790116993582.896134,100,79.996711730957,100
543,1790116993622.896434,100,79.9967193603516,100
544,1790116993662.910334,100,79.9967269897461,100
545,1790116993702.938334,100,79.9967346191406,100
546,1790116993742.956834,100,79.9967422485352,100
547,1790116993782.905734,100,79.9967498779297,100
548,1790116993822.590434,100,79.9967575073242,100
549,1790116993862.885834,100,79.9967651367188,100
550,1790116993902.886534,100,79.9967651367188,100
551,1790116993942.912434,100,79.9967651367188,100
552,1790116993982.898234,100,79.9967651367188,100
553,1790116994022.583634,100,79.9967651367188,100
554,1790116994062.581234,100,79.9967651367188,100
555,1790116994102.568034,100,79.9967651367188,100
556,1790116994142.572234,100,79.9967651367188,100
557,1790116994182.569234,100,79.9967651367188,100
558,1790116994222.546234,100,79.9967651367188,100
559,1790116994262.546734,100,79.9967651367188,100
560,1790116994302.542934,100,79.9967651367188,100
561,1790116994342.563334,100,79.9967651367188,100
562,1790116994382.548734,100,79.9967651367188,100
563,1790116994422.553534,100,79.9967651367188,100
564,1790116994462.530534,100,79.9967651367188,100
565,1790116994502.533234,100,79.9967651367188,100
566,1790116994542.548434,100,79.9967651367188,100
567,1790116994582.531634,100,79.9967651367188,100
568,1790116994622.536634,100,79.9967651367188,100
569,1790116994662.534934,100,79.9967651367188,100
570,1790116994702.519034,100,79.9967651367188,100
571,1790116994742.531334,100,79.9967651367188,100
572,1790116994782.530534,100,79.9967651367188,100
573,1790116994822.523034,100,79.9967651367188,100
574,1790116994862.517034,100,79.9967651367188,100
575,1790116994902.501134,100,79.9967651367188,100
576,1790116994942.498334,100,79.9967651367188,100
577,1790116994982.506234,100,79.9967651367188,100
578,1790116995022.477234,100,79.9967651367188,100
579,1790116995062.484634,100,79.9967651367188,100
580,1790116995102.475634,100,79.9967651367188,100
581,1790116995142.483434,100,79.9967651367188,100
582,1790116995182.485834,100,79.9967651367188,100
583,1790116995222.485534,100,79.9967651367188,100
584,1790116995262.482534,100,79.9967651367188,100
585,1790116995302.465134,100,79.9967651367188,100
586,1790116995342.468234,100,79.9967651367188,100
587,1790116995382.476734,100,79.9967651367188,100
588,1790116995422.460334,100,79.9967651367188,100
589,1790116995462.447534,100,79.9967651367188,100
590,1790116995502.452334,100,79.9967651367188,100
591,1790116995542.459134,100,79.9967651367188,100
592,1790116995582.443434,100,79.9967651367188,100
593,1790116995622.448534,100,79.9967651367188,100
594,1790116995662.428434,100,79.9967651367188,100
595,1790116995702.433134,100,79.9967651367188,100
596,1790116995742.427834,100,79.9967651367188,100
597,1790116995782.435634,100,79.9967651367188,100
598,1790116995822.438034,100,79.9967651367188,100
599,1790116995862.416834,100,79.9967651367188,100
600,1790116995902.416234,100,79.9967651367188,100
601,1790116995942.412934,100,79.9967651367188,100
602,1790116995982.423834,100,79.9967651367188,100
603,1790116996022.399934,100,79.9967651367188,100
604,1790116996062.399934,100,79.9967651367188,100
605,1790116996102.416934,100,79.9967651367188,100
606,1790116996142.404334,100,79.9967651367188,100
607,1790116996182.405534,100,79.9967651367188,100
608,1790116996222.406334,100,79.9967651367188,100
609,1790116996262.399034,100,79.9967651367188,100
610,1790116996302.381834,100,79.9967651367188,100
611,1790116996342.385934,100,79.9967651367188,100
612,1790116996382.386934,100,79.9967651367188,100
613,1790116996422.386234,100,79.9967651367188,100
614,1790116996462.378434,100,79.9967651367188,100
615,1790116996502.374034,100,79.9967651367188,100
616,1790116996542.368134,100,79.9967651367188,100
617,1790116996582.349234,100,79.9967651367188,100
618,1790116996622.368034,100,79.9967651367188,100
619,1790116996662.349834,100,79.9967651367188,100
620,1790116996702.345534,100,79.9967651367188,100
621,1790116996742.340934,100,79.9967651367188,100
622,1790116996782.354134,100,79.9967651367188,100
623,1790116996822.336334,100,79.9967651367188,100
624,1790116996862.329834,100,79.9967651367188,100
625,1790116996902.337034,100,79.9967651367188,100
626,1790116996942.343634,100,79.9967651367188,100
627,1790116996982.337134,100,79.9967651367188,100
628,1790116997022.333034,100,79.9967651367188,100
629,1790116997062.319334,100,79.9967651367188,100
630,1790116997102.309534,100,79.9967651367188,100
631,1790116997142.315034,100,79.9967651367188,100
632,1790116997182.321634,100,79.9967651367188,100
633,1790116997222.312534,100,79.9967651367188,100
634,1790116997262.295934,100,79.9967651367188,100
635,1790116997302.300234,100,79.9967651367188,100
636,1790116997342.299334,100,79.9967651367188,100
637,1790116997382.298134,100,79.9967651367188,100
638,1790116997422.295834,100,79.9967651367188,100
639,1790116997462.296834,100,79.9967651367188,100
640,1790116997502.281234,100,79.9967651367188,100
641,1790116997542.289734,100,79.9967651367188,100
642,1790116997582.273434,100,79.9967651367188,100
643,1790116997622.265734,100,79.9967651367188,100
644,1790116997662.284934,100,79.9967651367188,100
645,1790116997702.274934,100,79.9967651367188,100
646,1790116997742.282234,100,79.9967651367188,100
647,1790116997782.247634,100,79.9967651367188,100
648,1790116997822.247334,100,79.9967651367188,100
649,1790116997862.250034,100,79.9967651367188,100
650,1790116997902.246234,100,79.9967651367188,100
651,1790116997942.245334,100,79.9967651367188,100
652,1790116997982.234234,100,79.9967651367188,100
653,1790116998022.234434,100,79.9967651367188,100
654,1790116998062.240834,100,79.9967651367188,100
655,1790116998102.240934,100,79.9967651367188,100
656,1790116998142.232234,100,79.9967651367188,100
657,1790116998182.212534,100,79.9967651367188,100
658,1790116998222.230234,100,79.9967651367188,100
659,1790116998262.222934,100,79.9967651367188,100
660,1790116998302.226534,100,79.9967651367188,100
661,1790116998342.217234,100,79.9967651367188,100
662,1790116998382.196834,100,79.9967651367188,100
663,1790116998422.202534,100,79.9967651367188,100
664,1790116998462.200734,100,79.9967651367188,100
665,1790116998502.195734,100,79.9967651367188,100
666,1790116998542.185634,100,79.9967651367188,100
667,1790116998582.196234,100,79.9967651367188,100
668,1790116998622.186434,100,79.9967651367188,100
669,1790116998662.198534,100,79.9967651367188,100
670,1790116998702.196634,100,79.9967651367188,100
671,1790116998742.173434,100,79.9967651367188,100
672,1790116998782.171434,100,79.9967651367188,100
673,1790116998822.174834,100,79.9967651367188,100
674,1790116998862.167934,100,79.9967651367188,100
675,1790116998902.154234,100,79.9967651367188,100
676,1790116998942.164834,100,79.9967651367188,100
677,1790116998982.156434,100,79.9967651367188,100
678,1790116999022.165034,100,79.9967651367188,100
679,1790116999062.166034,100,79.9967651367188,100
680,1790116999102.154334,100,79.9967651367188,100
681,1790116999142.136834,100,79.9967651367188,100
682,1790116999182.157434,100,79.9967651367188,100
683,1790116999222.132934,100,79.9967651367188,100
684,1790116999262.140134,100,79.9967651367188,100
685,1790116999302.138734,100,79.9967651367188,100
686,1790116999342.134134,100,79.9967651367188,100
687,1790116999382.121534,100,79.9967651367188,100
688,1790116999422.114334,100,79.9967651367188,100
689,1790116999462.122034,100,79.9967651367188,100
690,1790116999502.117434,100,79.9967651367188,100
691,1790116999542.121634,100,79.9967651367188,100
692,1790116999582.122134,100,79.9967651367188,100
693,1790116999622.111134,100,79.9967651367188,100
694,1790116999662.112434,100,79.9967651367188,100
695,1790116999702.089934,100,79.9967651367188,100
696,1790116999742.101934,100,79.9967651367188,100
697,1790116999782.088934,100,79.9967651367188,100
698,1790116999822.102134,100,79.9967651367188,100
699,1790116999862.091734,100,79.9967651367188,100
700,1790116999902.083534,100,79.9967651367188,100
701,1790116999942.087034,100,79.9967651367188,100
702,1790116999982.083034,100,79.9967651367188,100
703,1790117000022.066434,100,79.9967651367188,100
704,1790117000062.075034,100,79.9967651367188,100
705,1790117000102.055334,100,79.9967651367188,100
706,1790117000142.068334,100,79.9967651367188,100
707,1790117000182.055634,100,79.9967651367188,100
708,1790117000222.048234,100,79.9967651367188,100
709,1790117000262.061634,100,79.9967651367188,100
710,1790117000302.059134,100,79.9967651367188,100
711,1790117000342.052834,100,79.9967651367188,100
712,1790117000382.028834,100,79.9967651367188,100
713,1790117000422.026634,100,79.9967651367188,100
714,1790117000462.040534,100,79.9967651367188,100
715,1790117000502.034934,100,79.9967651367188,100
716,1790117000542.012934,100,79.9967651367188,100
717,1790117000582.025734,100,79.9967651367188,100
718,1790117000622.031134,100,79.9967651367188,100
719,1790117000662.024234,100,79.9967651367188,100
720,1790117000702.023134,100,79.9967651367188,100
721,1790117000742.007434,100,79.9967651367188,100
722,1790117000782.018334,100,79.9967651367188,100
723,1790117000821.996434,100,79.9967651367188,100
724,1790117000861.982334,100,79.9967651367188,100
725,1790117000902.006634,100,79.9967651367188,100
